sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,default_configuration_id,description,fabric,frame,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,parent_url_key,price,rattan,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tabletop,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_super_products_sku,_super_attribute_code,_super_attribute_option,_super_attribute_price_corr
POM878875-00,,[Frame][Rattan][Fabric][TableTop],simple,"Products/Furniture Collections/The Pompano Collection","Default Category",base,,,"2014-11-11 16:24:48",,,,,,,795R2C1,"Natural Wood",,0,0,,"Pompano Ottoman - Front Corner",,,,"Pompano Ottoman","Pompano Ottoman",,809.9900,"Use config","Use config","Pompano Ottoman - Default",,,"Block after Info Column",,collections/pompano,679.9900,"Arabica 7mm Peel",0,"The Pompano Collection",,"Pompano Ottoman - Front Corner",,,,1,,2,,"Pompano Ottoman - Front Corner","2014-12-12 21:34:47",ottoman,ottoman,1,100.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,0.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
POM878875,,[Frame][Rattan][Fabric][TableTop],configurable,Products/Accessories,"Default Category",base,,,"2014-11-04 22:10:07",,,,,,"<p>Pleasure in the cutting edge design of our jaw dropping Pompano Ottoman crafted with sleek sides, plush cushioning and lightweight frames for easy placement. Without the use of heavy metals and instead using nonferrous aluminum and Viro rattan resin, you&#039;ll see our impressive Pompano Ottoman is also low in maintenance. Gorgeous fabric choices are available through our online swatch book were you&#039;ll be able to tailor each piece to perfectly accentuate your individual sense of style. Invite life onto your patio and revel in the ultimate comfort of our Allure fabrics, soft and texture but unmatched in durability with UV protection and water resistance sewn into its every fiber. Captivate with each Pompano Ottoman infused with rich color and designed to maintain the relaxing ambiance of your carefree oasis.</p><p>We believe in achieving excellence not just in our exceptional Pompano Ottoman&#039;s craftsmanship but in its price as well. We offer factory pricing on entire collections and when you include our standard free shipping, you will see why our customer satisfaction rating is at an all time high. Make Rattan Outdoor Furniture the cornerstone of your outdoors with the arrangement of our exquisite Pompano Ottoman and our other finely crafted selection.</p><p>Do you have questions on our Pompano Ottoman? We have answers at <a href='tel:18442728826'>(844) 2-RATTAN</a>. Email your Pompano Ottoman inquires to <a href='mailto:sales@rattanoutdoorfurniture.com'>sales@rattanoutdoorfurniture.com</a> and we will promptly respond every time.</p>",,,,0,1,/o/t/ottoman-1_23.jpg,"Pompano Ottoman - Front Corner",,,"Exclusive savings are found on our Pompano Ottoman made with satisfaction guaranteed. Receive more than you spend on your high-quality furniture collections with prices that continue to lead the market in value.","Pompano Ottoman","Pompano Ottoman",,809.9900,"Use config","Use config","Pompano Ottoman",,,"Block after Info Column",,collections/pompano,679.9900,,1,"The Pompano Collection",/o/t/ottoman-1_23.jpg,"Pompano Ottoman - Front Corner",,,,1,,2,/o/t/ottoman-1_23.jpg,"Pompano Ottoman - Front Corner","2014-12-12 23:32:14",ottoman,ottoman-2695,4,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/o/t/ottoman-2_6.jpg,"Side - Pompano Ottoman",3,0,POM878875-00,frame,"Natural Wood",
,,,,"Products/Deck Furniture","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/o/t/ottoman-main_6.jpg,"Front - Pompano Ottoman",2,0,POM878875-00,rattan,"Arabica 7mm Peel",
,,,,Products/Essentials,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/o/t/ottoman-3_6.jpg,"Back Corner - Pompano Ottoman",4,0,POM878875-00,fabric,795R2C1,
,,,,"Products/Modern Wicker Furniture","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/o/t/ottoman-1_23.jpg,"Pompano Ottoman - Front Corner",1,1,,,,
,,,,"Products/Occasional Furniture","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Products/Outdoor Essentials","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Products/Outdoor Furniture","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Products/Outdoor Patio Furniture","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Products/Outdoor Wicker Essentials","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
